"codigo","descripcion","um"
"LA451666000","REMACHE CISER 4,8x16-3/16x5/8","UN"
"LA451668000","REMACHE CISER 4,8x19-3/16x3/4","UN"
"LA451670000","REMACHE CISER 4,8x22-3/16x7/8","UN"
"LA3430614","CINTA AISL.MILLION AMARILLO 10M","UN"
"LA3430615","CINTA AISL.MILLION GRIS 10M","UN"
"LA3430616","CINTA AISL.MILLION VERDE 10M","UN"
"LA3430620","CINTA AISL.MILLION NEGRO 20M","UN"
"LA3430621","CINTA AISL.MILLION AZUL 20M","UN"
"LA3430622","CINTA AISL.MILLION BLANCO 20M","UN"
"LA3430623","CINTA AISL.MILLION ROJO 20M","UN"
"LA3430624","CINTA AISL.MILLION AMARILLO 20M","UN"
"LA3430625","CINTA AISL.MILLION GRIS 20M","UN"
"LA3430626","CINTA AISL.MILLION VERDE 20M","UN"
"LA3440","TARUGO NYLON PY C/TOPE ARG. 6","UN"
"LA3441","TARUGO NYLON PY C/TOPE ARG. 8","UN"
"LA35076301","TORN.CHAPA 1/2x12(5,5x13)CISER","UN"
"LA35076601","TORN.CHAPA 5/8x12(5,5x16)CISER","UN"
"LA35076801","TORN.CHAPA 3/4x12(5,5x19)CISER","UN"
"LA35077101","TORN.CHAPA 1x12(5,5x25)CISER","UN"
"LA35077301","TORN.CHAPA 1-1/4x12(5,5x32)CISER","UN"
"LA35077501","TORN.CHAPA 1-1/2x12(5,5x38)CISER","UN"
"LA35077701","TORN.CHAPA 1-3/4x12(5,5x45)CISER","UN"
"LA35077801","TORN.CHAPA 2x12(5,5x50)CISER","UN"
"LA35091301","TORN.CHAPA 1/2x14(6,3x13)CISER","UN"
"LA35091601","TORN.CHAPA 5/8x14(6,3x16)CISER","UN"
"LA35091801","TORN.CHAPA 3/4x14(6,3x19)CISER","UN"
"LA3X3X2.5MM/CP","BISAGRA OPTIMA CROMADO 3""","PAR"
"LA3X3X2.5MM/SBL","BISAGRA OPTIMA FLORENTINO 3""","PAR"
"LA3X3X2.5MM/SC","BISAGRA OPTIMA SATINADO 3""","PAR"
"LA4","P.AEROSOL OPTIMA NEGRO MATE 400ML","UN"
"LA40","P.AEROSOL OPTIMA BLANCO 400ML","UN"
"LA400-3A","PALA METISA RECTA","UN"
"LA4000-3","ESLINGA ""BRALT"" 4TON.+3MTS.","UN"
"LA4000-4","ESLINGA ""BRALT"" 4TON.+4MTS.","UN"
"LA4003-0110","CARRETE P/BORDEADORA CID","UN"
"LA400858","PEGAMENTO P/CALZADO""ECCOLE""9GR","UN"
"LA400894","RESIST.DUCHA HYDRA""OPTIMA""7700W","UN"
"LA401/2","CURVA 45 M/H TUPY 1/2""","UN"
"LA4010101","ACOPLE RAPIDO 1/2"" VIQUA","UN"
"LA40440/004","MARTILLO PENA TRAM. PRO 200G","UN"
"LA405.008","CUCHARA ALBANIL FAMASTIL 405-8","UN"
